id_usuario,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,gasto_total,ratio_gasto_ingreso,perfil_financiero
118,2704,21.4,Baja,1894.13,0.7,Saludable
119,1227,50.5,Alta,1283.56,1.05,En observación
120,4365,34.7,Media,5674.5,1.3,En riesgo
121,3308,15.7,Media,1524.46,0.46,Saludable
122,2365,8.7,Alta,1498.5,0.63,Saludable
123,6031,43.2,Media,4514.6,0.75,En riesgo
124,3616,17.1,Baja,3703.37,1.02,En riesgo
125,1944,27.1,Media,1151.6,0.59,Saludable
126,4889,58.6,Baja,2435.98,0.5,En riesgo
127,2524,22.7,Baja,1623.86,0.64,En observación
128,3573,17.5,Alta,2853.69,0.8,Saludable
129,3142,16.4,Alta,2030.3,0.65,Saludable
130,4251,15.3,Alta,3264.26,0.77,Saludable
131,996,38.2,Media,628.2,0.63,En observación
132,2355,2.9,Alta,1076.33,0.46,Saludable
133,3890,16.4,Alta,3364.64,0.86,Saludable
134,3401,11.8,Media,2151.71,0.63,Saludable
135,2209,24.2,Alta,2056.87,0.93,Saludable
136,4754,13.1,Media,4018.86,0.85,En observación
137,800,18.0,Media,683.1,0.85,En observación
138,4057,20.9,Baja,3105.98,0.77,En observación
139,5252,33.8,Baja,4258.16,0.81,En observación
140,2769,23.5,Alta,2273.35,0.82,Saludable
141,3935,61.1,Media,3568.27,0.91,En observación
142,5302,23.9,Baja,2031.4,0.38,Saludable
143,800,24.7,Baja,602.65,0.75,En riesgo
144,3990,26.7,Baja,3588.18,0.9,En observación
145,3853,41.6,Baja,1864.29,0.48,En observación
146,4008,23.8,Alta,3462.51,0.86,En observación
147,3773,33.7,Baja,2517.78,0.67,En observación
148,4746,17.2,Alta,3620.64,0.76,Saludable
149,4218,35.0,Media,3951.24,0.94,En observación
150,3095,15.3,Alta,2073.73,0.67,Saludable
151,4635,16.2,Baja,4201.76,0.91,En riesgo
152,4120,58.2,Media,2516.16,0.61,En observación
153,832,52.4,Media,722.0,0.87,En observación
154,3920,13.1,Alta,4665.72,1.19,En observación
155,3664,40.9,Media,3065.24,0.84,En observación
156,2314,37.1,Alta,2519.4,1.09,En observación
157,5890,22.3,Media,3368.32,0.57,Saludable
158,3584,46.4,Alta,1596.16,0.45,En observación
159,3263,23.6,Baja,1852.8,0.57,Saludable
160,4735,31.1,Alta,2451.82,0.52,Saludable
161,2996,55.0,Alta,2107.01,0.7,Saludable
162,3131,25.9,Baja,828.34,0.26,En observación
163,3154,40.4,Alta,3415.19,1.08,En observación
164,3097,13.4,Alta,3757.3,1.21,En observación
165,3521,29.6,Media,2766.29,0.79,En observación
166,2640,21.8,Alta,1964.44,0.74,Saludable
167,2431,31.6,Media,1711.68,0.7,En observación
168,800,46.4,Baja,779.44,0.97,En observación
169,2986,24.4,Media,1482.99,0.5,Saludable
170,1834,56.3,Media,1684.39,0.92,En riesgo
171,4583,13.1,Baja,3004.55,0.66,En observación
172,1667,40.7,Media,1178.14,0.71,En observación
173,4566,36.7,Baja,3127.83,0.69,En riesgo
174,1878,39.2,Alta,1608.99,0.86,En observación
175,3989,11.2,Alta,3655.22,0.92,Saludable
176,2716,45.7,Media,1692.66,0.62,Saludable
177,1165,39.1,Alta,605.24,0.52,En observación
178,800,55.4,Baja,630.39,0.79,En riesgo
179,2683,36.0,Alta,1994.07,0.74,En observación
180,3671,32.3,Baja,2512.98,0.68,En observación
181,3962,4.3,Alta,2010.03,0.51,Saludable
182,3756,27.2,Media,2829.46,0.75,En observación
183,2690,18.3,Alta,2112.33,0.79,Saludable
184,4112,4.5,Alta,3845.74,0.94,Saludable
185,3884,44.7,Alta,4077.37,1.05,En observación
186,800,10.8,Baja,510.03,0.64,En observación
187,4276,19.1,Baja,3350.75,0.78,En observación
188,2583,8.9,Media,1508.0,0.58,Saludable
189,2036,45.8,Baja,1179.06,0.58,En riesgo
190,4240,32.8,Alta,2524.9,0.6,En observación
191,2637,31.8,Alta,3192.92,1.21,En observación
192,5224,19.5,Baja,3885.1,0.74,En riesgo
193,2560,57.2,Alta,2246.13,0.88,En observación
194,4449,44.6,Media,3834.71,0.86,En observación
195,2409,26.3,Media,1774.47,0.74,En observación
196,3767,10.0,Baja,3083.05,0.82,En observación
197,4340,46.2,Baja,3906.46,0.9,En riesgo
198,3395,5.1,Media,2808.79,0.83,En observación
199,3907,10.8,Media,2169.99,0.56,En observación
200,3441,40.2,Baja,2598.29,0.76,En observación
201,4907,22.3,Baja,3765.15,0.77,En observación
202,2848,25.4,Baja,2249.87,0.79,En observación
203,5384,16.6,Alta,3856.9,0.72,Saludable
204,5670,32.9,Baja,5305.6,0.94,En observación
205,3901,43.3,Baja,2983.53,0.76,En riesgo
206,2724,51.1,Alta,3170.2,1.16,En observación
207,2832,51.8,Media,2929.2,1.03,En observación
208,2870,25.8,Baja,1457.96,0.51,En observación
209,1994,18.5,Alta,1483.05,0.74,Saludable
210,5826,15.0,Baja,5401.74,0.93,En observación
211,3426,40.1,Baja,1877.14,0.55,En observación
212,3750,37.4,Alta,3007.69,0.8,En observación
213,2543,22.0,Media,1622.01,0.64,Saludable
214,2544,47.8,Alta,2558.48,1.01,En observación
215,2251,37.1,Baja,1464.5,0.65,En observación
216,3804,7.3,Media,3912.61,1.03,En observación
217,2581,24.2,Alta,2068.56,0.8,En observación
218,4488,60.2,Alta,3223.05,0.72,En observación
219,1431,19.0,Media,1064.72,0.74,En observación
220,2724,33.4,Baja,2034.95,0.75,En riesgo
221,7290,22.0,Alta,4825.26,0.66,En observación
222,4523,57.7,Alta,3867.65,0.86,En observación
223,4386,46.6,Alta,3937.25,0.9,En observación
224,5100,47.5,Baja,5093.82,1.0,En riesgo
225,3249,32.2,Alta,3142.34,0.97,En observación
226,4053,24.1,Media,3060.72,0.76,En observación
227,3787,30.7,Media,1913.29,0.51,En observación
228,4468,62.4,Alta,3103.47,0.69,En observación
229,3874,53.7,Alta,2839.05,0.73,En observación
230,4412,32.8,Media,2954.46,0.67,En observación
231,5110,14.6,Media,3954.81,0.77,Saludable
232,5293,7.2,Alta,3437.24,0.65,Saludable
233,5848,29.0,Media,3801.57,0.65,En observación
234,1328,0.0,Baja,1101.18,0.83,En observación
235,1968,40.6,Baja,1562.36,0.79,En observación
236,1580,43.1,Baja,1369.92,0.87,En riesgo
237,6270,13.9,Baja,2980.79,0.48,Saludable
238,3432,33.7,Media,2424.97,0.71,En observación
239,1623,51.7,Baja,1193.25,0.74,En riesgo
240,4014,36.9,Alta,3422.17,0.85,En observación
241,4464,49.9,Alta,3505.91,0.79,En observación
242,3365,51.6,Baja,2114.06,0.63,En riesgo
243,3440,8.5,Alta,2659.32,0.77,Saludable
244,4761,20.2,Baja,3188.38,0.67,Saludable
245,2822,0.0,Baja,1311.94,0.46,En observación
246,4679,36.4,Baja,2694.84,0.58,En observación
247,3495,12.6,Alta,3567.04,1.02,En observación
248,3169,30.4,Alta,2495.62,0.79,Saludable
249,3129,19.8,Baja,1782.62,0.57,En observación
250,6197,39.6,Baja,4010.62,0.65,En observación
251,5599,43.9,Baja,4259.35,0.76,En observación
252,4547,35.9,Baja,4142.93,0.91,En riesgo
253,5074,22.0,Media,5008.7,0.99,En observación
254,6613,19.7,Baja,7026.14,1.06,En riesgo
255,2523,22.7,Alta,1746.77,0.69,Saludable
256,4284,21.4,Baja,3194.22,0.75,En riesgo
257,6091,36.5,Media,4609.92,0.76,En observación
258,4420,14.7,Alta,3110.23,0.7,Saludable
259,4099,39.7,Media,2717.75,0.66,En observación
260,1661,8.0,Baja,1312.86,0.79,En observación
261,6026,23.1,Alta,5689.52,0.94,En observación
262,3241,43.3,Baja,2811.3,0.87,En observación
263,5715,50.7,Alta,3642.73,0.64,En observación
264,4241,33.9,Alta,2760.66,0.65,Saludable
265,3462,47.6,Alta,2935.25,0.85,En observación
266,4658,0.0,Media,4456.67,0.96,Saludable
267,2956,13.2,Baja,1528.13,0.52,En observación
268,2798,35.2,Media,2074.87,0.74,En observación
269,3615,10.8,Media,3359.52,0.93,En observación
270,1165,23.6,Baja,1188.46,1.02,En riesgo
271,2977,24.8,Baja,2060.4,0.69,En riesgo
272,4073,36.5,Baja,3810.09,0.94,En riesgo
273,3111,27.1,Alta,2293.15,0.74,Saludable
274,4591,30.8,Media,4048.69,0.88,En observación
275,3618,0.0,Media,3310.25,0.91,En observación
276,4997,0.0,Media,5626.16,1.13,En observación
277,5162,14.4,Media,4440.87,0.86,Saludable
278,2564,58.7,Media,1835.0,0.72,En observación
279,4805,37.4,Alta,3733.85,0.78,En observación
280,7105,29.1,Baja,5585.94,0.79,En riesgo
281,5158,47.8,Alta,4461.52,0.86,En observación
282,5950,12.8,Alta,4786.62,0.8,Saludable
283,3404,34.9,Alta,2749.9,0.81,En observación
284,5921,36.8,Baja,4180.53,0.71,En riesgo
285,5284,11.6,Baja,4531.2,0.86,En observación
286,3054,50.6,Media,2208.01,0.72,En observación
287,3240,30.2,Alta,1790.65,0.55,Saludable
288,5892,17.3,Media,3367.57,0.57,Saludable
289,2542,10.2,Baja,2657.82,1.05,En riesgo
290,2468,63.8,Baja,2287.14,0.93,En riesgo
291,800,64.4,Baja,399.9,0.5,En observación
292,5034,66.6,Baja,5029.82,1.0,En riesgo
293,4392,42.8,Alta,3893.98,0.89,En observación
294,3656,29.1,Media,2245.83,0.61,En observación
295,961,28.5,Baja,549.74,0.57,En observación
296,3770,50.9,Media,3450.67,0.92,En observación
297,2016,44.1,Baja,1155.47,0.57,En observación
298,4325,15.5,Media,3325.78,0.77,Saludable
299,2598,34.8,Media,1203.55,0.46,En observación
300,3471,38.3,Baja,2743.15,0.79,En riesgo
301,3688,23.6,Baja,2847.19,0.77,En observación
302,3573,30.6,Media,2228.27,0.62,Saludable
303,1396,56.2,Alta,734.44,0.53,Saludable
304,2422,43.4,Baja,1687.91,0.7,En riesgo
305,2490,34.2,Baja,1493.1,0.6,En riesgo
306,1719,34.6,Alta,1485.35,0.86,En observación
307,3222,28.1,Alta,2441.91,0.76,Saludable
308,4946,63.2,Baja,3213.18,0.65,En observación
309,3368,68.7,Baja,2038.78,0.61,En riesgo
310,6017,21.7,Baja,5128.99,0.85,En riesgo
311,2931,26.9,Baja,1891.37,0.65,En observación
312,2526,11.6,Media,1910.0,0.76,Saludable
313,3851,6.7,Media,3117.61,0.81,En observación
314,800,35.6,Media,776.78,0.97,En observación
315,6009,36.3,Baja,3744.2,0.62,En observación
316,4337,31.1,Media,3673.34,0.85,En observación
317,3754,8.8,Baja,2740.34,0.73,En observación
318,2397,48.5,Baja,2268.61,0.95,En riesgo
319,1862,25.3,Media,1803.08,0.97,En observación
320,6979,35.9,Baja,5475.51,0.78,En observación
321,3700,27.7,Media,3246.6,0.88,En observación
322,2321,10.0,Media,973.62,0.42,Saludable
323,1845,0.0,Media,1512.8,0.82,En observación
324,3491,42.6,Media,2669.67,0.76,En observación
325,4879,25.6,Media,3894.08,0.8,En observación
326,2498,44.9,Alta,1794.83,0.72,Saludable
327,4305,16.5,Alta,3250.59,0.76,Saludable
328,5129,37.1,Alta,3823.64,0.75,En observación
329,5585,38.4,Alta,4199.16,0.75,Saludable
330,1902,25.4,Alta,1217.83,0.64,Saludable
331,3585,37.9,Media,2643.26,0.74,En observación
332,3597,0.4,Baja,2089.57,0.58,Saludable
333,1685,39.0,Baja,1728.03,1.03,En riesgo
334,3180,52.4,Media,2470.1,0.78,En observación
335,2580,25.5,Baja,1754.73,0.68,En observación
336,3741,30.0,Baja,3099.98,0.83,En riesgo
337,4924,7.7,Alta,1429.41,0.29,Saludable
338,1450,26.6,Alta,782.1,0.54,Saludable
339,4312,41.4,Alta,2786.54,0.65,Saludable
340,2681,35.9,Baja,1297.06,0.48,En observación
341,3477,38.7,Alta,2682.59,0.77,Saludable
342,5295,27.6,Media,3945.23,0.75,En observación
343,2835,16.7,Baja,2038.0,0.72,En riesgo
344,1442,5.8,Baja,1463.36,1.01,En observación
345,2496,45.6,Alta,1599.91,0.64,En observación
346,4517,22.7,Media,5141.77,1.14,En observación
347,4613,34.5,Alta,4540.64,0.98,En observación
348,3548,18.7,Alta,2954.76,0.83,Saludable
349,6520,32.0,Baja,4461.26,0.68,En observación
350,1479,15.4,Baja,1428.82,0.97,En observación
351,1930,38.0,Alta,1859.41,0.96,En observación
352,4994,18.6,Baja,2467.41,0.49,En observación
353,3016,26.2,Baja,2983.05,0.99,En riesgo
354,4184,62.5,Baja,2653.35,0.63,En riesgo
355,3586,34.0,Alta,3676.1,1.03,En observación
356,4307,46.1,Baja,2947.32,0.68,En observación
357,1933,0.5,Alta,2165.19,1.12,Saludable
358,3168,25.8,Baja,2551.3,0.81,En riesgo
359,4791,21.3,Media,3449.13,0.72,En observación
360,3127,54.1,Baja,2621.6,0.84,En riesgo
361,4494,47.6,Alta,3516.93,0.78,Saludable
362,4100,20.2,Baja,2684.88,0.65,En observación
363,5357,30.3,Alta,4315.55,0.81,En observación
364,3861,69.0,Alta,3288.77,0.85,En observación
365,4630,35.7,Baja,4547.38,0.98,En riesgo
366,3292,11.6,Alta,2345.14,0.71,Saludable
367,2629,38.8,Baja,2761.98,1.05,En riesgo
368,1706,36.7,Media,1646.96,0.97,En observación
369,3299,30.2,Alta,2008.16,0.61,Saludable
370,3319,36.3,Alta,1959.04,0.59,Saludable
371,4584,24.4,Alta,4862.95,1.06,En observación
372,3837,44.0,Alta,1898.14,0.49,Saludable
373,1212,48.9,Media,788.61,0.65,En riesgo
374,2654,32.8,Media,2727.2,1.03,En riesgo
375,6592,48.1,Baja,6159.11,0.93,En riesgo
376,4668,21.7,Alta,2813.52,0.6,Saludable
377,3245,23.2,Alta,2840.51,0.88,En observación
378,3633,52.2,Media,1978.15,0.54,En observación
379,2425,2.0,Baja,1782.66,0.74,En observación
380,5770,39.5,Media,3263.78,0.57,En observación
381,5332,38.7,Media,3781.63,0.71,En observación
382,2942,46.3,Baja,3204.5,1.09,En riesgo
383,2767,13.2,Alta,2145.42,0.78,Saludable
384,3985,27.8,Alta,2654.46,0.67,Saludable
385,4270,22.0,Media,2303.3,0.54,Saludable
386,3459,56.6,Media,3628.58,1.05,En riesgo
387,2597,37.0,Media,1481.04,0.57,En observación
388,4649,48.4,Baja,3402.94,0.73,En observación
389,2183,17.6,Baja,1548.26,0.71,En observación
390,4870,18.0,Media,4960.99,1.02,En observación
391,3468,18.8,Alta,1087.69,0.31,Saludable
392,4605,25.8,Alta,3509.28,0.76,En observación
393,1156,22.1,Baja,1032.27,0.89,En observación
394,3940,9.7,Baja,3285.79,0.83,En observación
395,1077,47.5,Alta,665.34,0.62,Saludable
396,3801,47.2,Baja,2155.75,0.57,En observación
397,4143,40.4,Alta,3238.83,0.78,En observación
398,2259,31.3,Media,1258.3,0.56,Saludable
399,4155,43.6,Baja,1349.01,0.32,En observación
400,4429,60.9,Media,3338.33,0.75,En observación
401,3226,50.6,Baja,2044.4,0.63,En observación
402,2776,15.7,Baja,2143.3,0.77,En riesgo
403,3985,26.2,Media,2779.43,0.7,Saludable
404,4825,28.8,Media,3462.0,0.72,En riesgo
405,3948,18.7,Baja,2658.01,0.67,En observación
406,3670,8.4,Media,3359.74,0.92,En observación
407,6310,46.2,Alta,4224.43,0.67,En observación
408,3602,42.8,Alta,3015.78,0.84,En observación
409,2535,45.4,Media,1748.49,0.69,En observación
410,2067,36.4,Alta,2317.63,1.12,En observación
411,3536,51.2,Alta,2601.31,0.74,En observación
412,1906,36.4,Alta,1365.29,0.72,En observación
413,5281,68.8,Baja,4511.74,0.85,En riesgo
414,3792,24.7,Alta,3075.04,0.81,Saludable
415,3753,49.8,Alta,2134.79,0.57,En observación
416,5476,28.2,Media,2015.53,0.37,Saludable
417,5445,29.7,Alta,3104.33,0.57,Saludable
418,4761,38.2,Baja,3365.99,0.71,En observación
419,2912,16.2,Baja,3030.72,1.04,En observación
420,5326,52.8,Media,4951.56,0.93,En observación
421,4106,29.6,Baja,2411.59,0.59,En observación
422,1731,47.8,Baja,1153.48,0.67,En riesgo
423,3925,26.1,Alta,3358.25,0.86,Saludable
424,4807,9.8,Alta,3714.6,0.77,En observación
425,2000,19.8,Baja,1685.01,0.84,En observación
426,4026,37.3,Media,3479.47,0.86,En riesgo
427,4115,26.4,Media,3584.43,0.87,En riesgo
428,3301,15.4,Alta,3133.56,0.95,Saludable
429,800,42.7,Baja,522.91,0.65,En observación
430,3998,32.9,Alta,3509.05,0.88,En observación
431,4270,26.1,Media,3770.35,0.88,En observación
432,2097,46.3,Baja,1370.45,0.65,En riesgo
433,4051,57.6,Alta,2875.3,0.71,En observación
434,3471,25.5,Alta,3103.04,0.89,Saludable
435,1919,14.0,Media,1767.51,0.92,En observación
436,3343,27.5,Alta,2549.4,0.76,En observación
437,2109,33.6,Media,1951.95,0.93,En observación
438,3784,45.0,Media,996.77,0.26,En observación
439,2519,2.5,Baja,2121.04,0.84,En observación
440,3294,44.3,Baja,3426.45,1.04,En riesgo
441,5960,41.1,Alta,4550.93,0.76,Saludable
442,3131,17.4,Media,3571.75,1.14,En observación
443,3685,38.3,Media,2792.67,0.76,En riesgo
444,2566,32.9,Baja,1581.57,0.62,En observación
445,2582,29.4,Baja,1736.98,0.67,En observación
446,1391,28.8,Media,666.5,0.48,En observación
447,3624,8.1,Baja,2516.3,0.69,En observación
448,3979,50.1,Alta,1641.21,0.41,Saludable
449,3260,40.1,Media,2570.1,0.79,En observación
450,3021,18.1,Baja,2850.86,0.94,En observación
451,6352,29.1,Alta,3954.04,0.62,Saludable
452,800,6.2,Media,638.47,0.8,En observación
453,1128,43.4,Alta,747.92,0.66,En observación
454,5918,43.5,Alta,4152.45,0.7,Saludable
455,800,19.2,Media,569.6,0.71,Saludable
456,3303,31.2,Alta,2343.56,0.71,Saludable
457,3753,36.6,Baja,2078.14,0.55,En riesgo
458,3352,30.3,Baja,2941.31,0.88,En riesgo
459,4930,34.3,Baja,3154.02,0.64,En observación
460,1784,31.6,Alta,1327.33,0.74,Saludable
461,3307,1.8,Baja,2153.62,0.65,En observación
462,3740,14.6,Alta,3657.07,0.98,Saludable
463,4954,36.4,Baja,3139.25,0.63,En riesgo
464,1710,43.8,Media,1590.48,0.93,En observación
465,5589,26.2,Alta,4482.18,0.8,En observación
466,3299,42.2,Alta,2945.44,0.89,Saludable
467,5457,5.1,Baja,5106.98,0.94,En observación
468,1864,23.8,Media,1027.01,0.55,Saludable
469,3038,41.7,Baja,2995.03,0.99,En riesgo
470,2657,26.9,Baja,1187.63,0.45,En observación
471,4947,54.2,Media,2611.11,0.53,En observación
472,3460,34.2,Media,2090.78,0.6,En observación
473,2789,29.8,Baja,2366.0,0.85,En observación
474,2845,28.4,Media,2088.5,0.73,En observación
475,3112,54.0,Baja,2648.2,0.85,En riesgo
476,4545,25.0,Alta,4368.48,0.96,En observación
477,3339,36.7,Baja,1560.12,0.47,En observación
478,1709,32.1,Alta,1814.71,1.06,En riesgo
479,4457,37.5,Baja,1897.83,0.43,En observación
480,2318,20.7,Media,1668.34,0.72,En observación
481,800,41.2,Alta,445.53,0.56,Saludable
482,6611,16.2,Media,1947.26,0.29,Saludable
483,5151,59.4,Alta,2723.24,0.53,En observación
484,2802,28.4,Alta,3435.2,1.23,En observación
485,3881,37.0,Baja,3669.26,0.95,En riesgo
486,3962,24.1,Baja,3163.43,0.8,En observación
487,4432,24.5,Baja,3624.84,0.82,En observación
488,5189,29.2,Baja,2235.7,0.43,En observación
489,2141,20.2,Media,1376.19,0.64,En observación
490,800,77.1,Baja,752.07,0.94,En riesgo
491,3418,34.3,Baja,2884.12,0.84,En riesgo
492,4333,31.3,Alta,3095.84,0.71,Saludable
493,3208,47.0,Media,2748.74,0.86,Saludable
494,4484,32.9,Media,3347.9,0.75,En observación
495,5186,44.2,Alta,3168.03,0.61,En observación
496,2043,9.3,Alta,1301.78,0.64,Saludable
497,4930,37.7,Baja,4340.95,0.88,En riesgo
498,2538,36.5,Media,2269.16,0.89,En observación
499,5283,40.6,Baja,4296.46,0.81,En riesgo
500,3460,16.8,Alta,2493.44,0.72,Saludable
501,2487,27.8,Baja,1510.52,0.61,En observación
502,800,33.2,Media,600.17,0.75,En observación
503,4489,44.1,Baja,2067.81,0.46,En observación
504,2346,15.9,Media,2109.77,0.9,En observación
505,3103,0.0,Baja,2682.16,0.86,En observación
506,3590,34.2,Baja,3571.76,0.99,En observación
507,800,32.8,Media,859.27,1.07,En riesgo
508,3814,22.6,Media,3414.61,0.9,En observación
509,4215,37.6,Media,3965.63,0.94,En riesgo
510,4089,22.4,Baja,3047.93,0.75,En observación
511,2458,23.9,Baja,1611.62,0.66,En observación
512,2266,46.8,Baja,1699.58,0.75,En riesgo
513,3008,32.3,Alta,2702.74,0.9,Saludable
514,2513,25.4,Baja,1275.96,0.51,En observación
515,2786,43.1,Media,2221.17,0.8,En observación
516,4776,27.9,Media,3917.67,0.82,En observación
517,3898,21.3,Media,1212.33,0.31,Saludable
518,5634,43.9,Baja,5204.53,0.92,En riesgo
519,3633,33.0,Media,2320.84,0.64,En observación
520,4424,48.1,Media,3206.96,0.72,En observación
521,3501,39.0,Alta,1715.86,0.49,Saludable
522,2674,11.7,Alta,1760.92,0.66,Saludable
523,2820,51.8,Media,2280.86,0.81,En observación
524,4433,12.9,Alta,4153.9,0.94,Saludable
525,4506,13.9,Alta,2119.28,0.47,Saludable
526,4065,16.5,Media,2412.42,0.59,En observación
527,1716,54.6,Baja,1008.82,0.59,En riesgo
528,3007,39.0,Baja,1960.74,0.65,En observación
529,3561,15.0,Media,3145.6,0.88,En observación
