id_interno,codigo_autorizacion,descripcion,valor,categoria,desc_limpia
44,17849494,TEF ENVIADA CONDOMINIO GGCC,252.71,Vivienda,tef enviada condominio ggcc
45,16729990,DEBITO UDEMY COURSES,91.78,Educación,debito udemy courses
46,78159587,TEF ENVIADA TIENDA ONLINE,21.22,Educación,tef enviada tienda online
47,41568532,PAGO WEB SHELL RUTA 5,27.21,Transporte,pago web shell ruta 
48,93131979,PAGO WEB SISTEMA DUOC,21.48,Educación,pago web sistema duoc
49,44999379,PAGO WEB COMPRA EN AMAZON,16.23,Ocio,pago web compra en amazon
50,27566185,TEF ENVIADA RESTAURANT FANCY,41.94,Ocio,tef enviada restaurant fancy
51,19736572,CARGO TC OPTICA VISION,11.3,Salud,cargo tc optica vision
52,77898694,COMPRA TBK COLEGIO MENSUALIDAD,47.13,Educación,compra tbk colegio mensualidad
53,31172421,TEF ENVIADA FARMACIA AHUMADA,71.35,Salud,tef enviada farmacia ahumada
54,97775215,PAGO WEB LIBRERIA UNIVERSITARIA,84.05,Educación,pago web libreria universitaria
55,23903144,CARGO TC MERCADO CENTRAL,56.64,Ocio,cargo tc mercado central
56,84252420,COMPRA TBK CARGA BIP WEB,13.55,Transporte,compra tbk carga bip web
57,95125977,DEBITO INTEGRAMEDICA,129.41,Salud,debito integramedica
58,16818112,CARGO TC CURSO IDIOMAS,22.92,Educación,cargo tc curso idiomas
59,31687165,COMPRA TBK PINTURAS sHERWIN,309.43,Vivienda,compra tbk pinturas sherwin
60,83227889,PAGO WEB PAGO CUOTAS,15.04,Educación,pago web pago cuotas
61,51373735,PAGO AUTOMATICO CLINICA INDISA,61.05,Salud,pago automatico clinica indisa
62,43491314,CARGO TC ENEL DISTRIBUCION,103.37,Servicios,cargo tc enel distribucion
63,41774346,PAGO WEB CENTRO MEDICO,131.04,Salud,pago web centro medico
64,99913412,PAGO AUTOMaTIcO VTR BANDA ANChA,130.97,Servicios,pago automatico vtr banda ancha
65,24508349,CARGO TC GASCO LIQUADO,63.56,Servicios,cargo tc gasco liquado
66,71780854,TEF ENVIADA MERCADO CENTRAL,24.23,Alimentación,tef enviada mercado central
67,54058573,TEF ENVIADA gASCO LIQUADO,49.0,Servicios,tef enviada gasco liquado
68,63643924,CARGO TC PRONTO COPEC,42.37,Alimentación,cargo tc pronto copec
69,25480907,CARGO TC PAGO CUOTAS,132.79,Servicios,cargo tc pago cuotas
70,45630292,PAGO WEB CLINICA INDISA,15.36,Salud,pago web clinica indisa
71,52101056,CARGO TC PAGO CUOTAS,71.1,Educación,cargo tc pago cuotas
72,35511941,PAGO AUTOMATICO COLEGIO MENSUALIDAD,45.66,Educación,pago automatico colegio mensualidad
73,82269803,COMPRA TBK TIENDA ONLINE,42.78,Ocio,compra tbk tienda online
74,19391725,TEF ENVIADA ENTRETENIMIENTO PLUS,57.19,Ocio,tef enviada entretenimiento plus
75,50308572,DEBITO CONSULTA ESPECIALISTA,81.0,Salud,debito consulta especialista
76,49682169,CARGO TC TIENDA ONLINE,35.49,Ocio,cargo tc tienda online
77,33357554,DEBITO TAXI APP,38.85,Transporte,debito taxi app
78,50785405,PAGO WEB CENTRO MEDICO,50.17,Salud,pago web centro medico
79,38682516,PAGO AUTOMATICO REPARACIONES HOGAR,228.91,Vivienda,pago automatico reparaciones hogar
80,79182797,DEBITO VTR BANDA ANCHA,102.94,Servicios,debito vtr banda ancha
81,41523529,COMPRA TBK PLATAFORMA APRENDIZAJE,104.19,Educación,compra tbk plataforma aprendizaje
82,19774839,TEF ENVIADA DID1 RIDE,30.05,Transporte,tef enviada did ride
83,61536717,TEF ENVIADA COMPRA EN AMAZON,32.19,Ocio,tef enviada compra en amazon
84,24305904,DEBITO UBER TRIP,47.81,Transporte,debito uber trip
85,79519112,ABONO UBER TRIP,30.55,Transporte,abono uber trip
86,27896471,ABONO SISTEMA DUOC,122.2,Educación,abono sistema duoc
87,69401199,PAGO WEB MERCADO CENTRAL,38.7,Ocio,pago web mercado central
88,83534128,PAGO AUTOMATICO MERCADO CENTRAL,29.53,Ocio,pago automatico mercado central
89,43183955,PAGO AUTOMATICO ESTACIONAMIENTO,51.19,Transporte,pago automatico estacionamiento
90,69038700,DEBITO OPTICA VISION,20.85,Salud,debito optica vision
91,82498004,CARGO TC INTEGRAMEDICA,21.28,Salud,cargo tc integramedica
92,38716269,PAGO AUTOMATICO DIDI RIDE,8.53,Transporte,pago automatico didi ride
93,18357162,PAGO WEB REPARACIONES HOGAR,122.39,Vivienda,pago web reparaciones hogar
94,12621534,ABONO SERVICIOS GENERALES,349.86,Vivienda,abono servicios generales
95,57212267,PAGO AUTOMATICO TIENDA ONLINE,51.81,Servicios,pago automatico tienda online
96,83300637,PAGO WEB SERVICIOS GENERALES,329.95,Vivienda,pago web servicios generales
97,75181765,TEF ENVIADA ESTACIONAMIENTO,6.6,Transporte,tef enviada estacionamiento
98,72732043,DEBITO CENTRO MEDICO,138.74,Salud,debito centro medico
99,89442503,COMPRA TBK TIENDA ONLINE,89.01,Educación,compra tbk tienda online
100,71968116,DEBITO LIDER EXPRESS,15.0,Alimentación,debito lider express
101,53868501,CARGO TC CENTRO MEDICO,57.25,Salud,cargo tc centro medico
102,66581473,ABONO PINTURAS SHERWIN,138.3,Vivienda,abono pinturas sherwin
103,16990811,COMPRA TBK MERCADO CENTRAL,59.99,Alimentación,compra tbk mercado central
104,97477029,DEBITO INTEGRAMEDICA,15.64,Salud,debito integramedica
105,93394260,TEF ENVIADA ALMACEN VECINAL,13.38,Alimentación,tef enviada almacen vecinal
106,39254705,DEBITO ESTACIONAMIENTO,30.58,Transporte,debito estacionamiento
107,25372341,TEF ENVIADA CONSULTA ESPECIALISTA,118.89,Salud,tef enviada consulta especialista
108,51870192,COMPRA TBK CARGA BIP WEB,36.67,Transporte,compra tbk carga bip web
109,89470029,DEBITO SERVICIOS GENERALES,291.72,Vivienda,debito servicios generales
110,50477742,COMPRA TBK STEAM GAMES,51.77,Ocio,compra tbk steam games
111,15512205,ABONO COLEGIO MENSUALIDAD,58.61,Educación,abono colegio mensualidad
112,55799273,COMPRA TBK REPARACIONES HOGAR,54.43,Vivienda,compra tbk reparaciones hogar
113,58612055,COMPRA TBK PAGO CUOTAS,272.45,Vivienda,compra tbk pago cuotas
114,33640702,DEBITO SERVICIOS GENERALES,112.73,Servicios,debito servicios generales
115,82232344,PAGO WEB BAR LA ESQUINA,47.61,Ocio,pago web bar la esquina
116,46023439,ABONO SERVICIOS GENERALES,162.81,Vivienda,abono servicios generales
117,42730796,CARGO TC SHELL RUTA 5,46.28,Transporte,cargo tc shell ruta 
118,38470244,CARGO TC PAGO CuOTAS,59.68,Educación,cargo tc pago cuotas
119,47080140,CARGO TC CONSULTA ESPECIALISTA,87.81,Salud,cargo tc consulta especialista
120,64549859,COMPRA TBK SISTEMA DUOC,78.4,Educación,compra tbk sistema duoc
121,75876924,DEBITO GASCO LIQUADO,72.74,Servicios,debito gasco liquado
122,42655866,CARGO TC LIDER EXPRESS,21.84,Alimentación,cargo tc lider express
123,56138336,PAGO AUTOMATICO PLATAFORMA APRENDIZAJE,69.57,Educación,pago automatico plataforma aprendizaje
124,70900658,CARGO TC MERCADO CENTRAL,19.9,Ocio,cargo tc mercado central
125,52352128,COMPRA TBK INTEGRAMEDICA,26.74,Salud,compra tbk integramedica
126,74988034,TEF ENVIADA MATRICULA UNIV,48.71,Educación,tef enviada matricula univ
127,23492385,PAGO WEB TIENDA ONLINE,126.57,Educación,pago web tienda online
128,11898961,CARGO TC INTEGRAMEDICA,109.12,Salud,cargo tc integramedica
129,84270583,COMPRA TBK CARGA BIP WEB,21.07,Transporte,compra tbk carga bip web
130,87049595,COMPRA TBK ESTACIONAMIENTO,20.64,Transporte,compra tbk estacionamiento
131,16895666,CARGO TC PAGO CUOTAS,138.37,Vivienda,cargo tc pago cuotas
132,63782042,COMPRA TBK SERVICIOS GENERALES,78.84,Servicios,compra tbk servicios generales
133,85543051,TEF ENVIADA UDEMY COURSES,142.88,Educación,tef enviada udemy courses
134,65857931,COMPRA TBK ALMACEN VECINAL,38.35,Alimentación,compra tbk almacen vecinal
135,61053474,TEF ENVIADA TIENDA ONLINE,73.07,Servicios,tef enviada tienda online
136,67556566,ABONO PINTURAS SHERWIN,156.88,Vivienda,abono pinturas sherwin
137,23318904,PAGO WEB UDEMY COURSES,142.66,Educación,pago web udemy courses
138,31079846,CARGO TC DIDI RIDE,18.19,Transporte,cargo tc didi ride
139,73070585,TEF ENVIADA COLEGIO MEnSUALIDAD,50.78,Educación,tef enviada colegio mensualidad
140,70939053,DEBITO CARGA BIP WEB,8.91,Transporte,debito carga bip web
141,89160218,ABONO CARGA BIP WEB,41.37,Transporte,abono carga bip web
142,96924061,COMPRA TBK TAXI APP,13.19,Transporte,compra tbk taxi app
143,51286958,COMPRA TBK CLINICA INDISA,93.31,Salud,compra tbk clinica indisa
144,72907576,CARGO TC TIENDA ONLINE,106.41,Servicios,cargo tc tienda online
145,76276072,CARGO TC TIENDA ONLINE,29.08,Ocio,cargo tc tienda online
146,91029073,PAGO AUTOMATICO UDEMY COURSES,45.05,Educación,pago automatico udemy courses
147,87201917,DEBITO ALMACEN VECINAL,37.29,Alimentación,debito almacen vecinal
148,15399803,ABONO DELIVERY COMIDA,46.97,Alimentación,abono delivery comida
149,47333543,PAGO WEB ESTACIONAMIENTO,14.98,Transporte,pago web estacionamiento
150,22246348,DEBITO PAGO CUOTAS,75.8,Educación,debito pago cuotas
151,31585546,CARGO TC REPARACIONES HOGAR,165.43,Vivienda,cargo tc reparaciones hogar
152,63747791,CARGO TC EVENTO DEPORTIVO,49.75,Ocio,cargo tc evento deportivo
153,43876400,PAGO AUTOMATICO UDEMY COURSES,55.26,Educación,pago automatico udemy courses
154,10154493,ABONO TALLER AUTOMOTRIZ,102.07,Servicios,abono taller automotriz
155,79583757,PAGO AUTOMATICO CURSO IDIOMAS,60.65,Educación,pago automatico curso idiomas
156,16927215,DEBITO SERVICIOS GENERALES,38.5,Servicios,debito servicios generales
157,75056916,CARGO TC MATRICULA UNIV,27.0,Educación,cargo tc matricula univ
158,31257157,ABONO COMPRA EN AMAZON,22.09,Ocio,abono compra en amazon
159,25228493,PAGO AUTOMATICO TIENDA ONLINE,30.38,Alimentación,pago automatico tienda online
160,49172995,ABONO DELIVERY COMIDA,32.99,Alimentación,abono delivery comida
161,73380266,ABONO CENTRO MEDICO,44.12,Salud,abono centro medico
162,90447099,PAGO AUTOMATICO MATRICULA UNIV,81.15,Educación,pago automatico matricula univ
163,65692629,CARGO TC SHELL RUTA 5,23.69,Transporte,cargo tc shell ruta 
164,47962005,CARGO TC PAGO CUOTAS,111.65,Servicios,cargo tc pago cuotas
165,75718414,PAGO WEB TIENDA ONLINE,131.14,Servicios,pago web tienda online
166,84077101,PAGO AUTOMATICO HOME CENTER,317.01,Vivienda,pago automatico home center
167,42051937,CARGO TC PAGO CUOTAS,250.13,Vivienda,cargo tc pago cuotas
168,73481797,COMPRA TBK TAXI APP,43.79,Transporte,compra tbk taxi app
169,97512508,PAGO AUTOMATICO TALLER AUTOMOTRIZ,147.31,Servicios,pago automatico taller automotriz
170,89212676,TEF ENVIADA SODIMAC HOME,166.2,Vivienda,tef enviada sodimac home
171,71327848,COMPRA TBK MERCADO CENTRAL,5.84,Alimentación,compra tbk mercado central
172,30718012,ABONO TAXI APP,9.12,Transporte,abono taxi app
173,63349308,CARGO TC CLARO TELECOM,100.98,Servicios,cargo tc claro telecom
174,81621574,ABONO SERVICIO TECNICO,63.2,Servicios,abono servicio tecnico
175,92874006,ABONO OPTICA VISION,19.58,Salud,abono optica vision
176,22130508,CARGO TC ENTRETENIMIENTO PLUS,28.87,Ocio,cargo tc entretenimiento plus
177,69549527,DEBITO DELIVERY COMIDA,14.15,Alimentación,debito delivery comida
178,17532195,COMPRA TBK CRUZ VERDE LOCAL,51.07,Salud,compra tbk cruz verde local
179,65304649,TEF ENVIADA CENTRO MEDICO,89.23,Salud,tef enviada centro medico
180,91804602,TEF ENVIADA VTR BANDA ANCHA,131.92,Servicios,tef enviada vtr banda ancha
181,29208935,PAGO AUTOMATICO SISTEMA DUOC,42.51,Educación,pago automatico sistema duoc
182,11261301,PAGO AUTOMATICO BAR LA ESQUINA,54.44,Ocio,pago automatico bar la esquina
183,19913576,DEBITO PINTURAS SHERWIN,204.61,Vivienda,debito pinturas sherwin
184,43567615,DEBITO EXAMENES MED,73.96,Salud,debito examenes med
185,24314759,PAGO AUTOMATICO INTEGRAMEDICA,43.21,Salud,pago automatico integramedica
186,49625201,PAGO WEB PLATAFORMA APRENDIZAJE,13.07,Educación,pago web plataforma aprendizaje
187,85957706,PAGO AUTOMATICO BANCO DEL ESTADO,131.11,Servicios,pago automatico banco del estado
188,48412328,PAGO WEB ENEL DISTRIBUCION,118.6,Servicios,pago web enel distribucion
189,95445405,ABONO GASOLINERA,15.46,Transporte,abono gasolinera
190,94216001,DEBITO CLINICA INDISA,100.49,Salud,debito clinica indisa
191,27637794,COMPRA TBK OPTICA VISION,22.62,Salud,compra tbk optica vision
192,36950221,DEBITO CONSULTA ESPECIALISTA,28.5,Salud,debito consulta especialista
193,46578001,PAGO WEB PLATAFORMA APRENDIZAJE,126.27,Educación,pago web plataforma aprendizaje
194,55461591,ABONO OPTICA VISION,122.59,Salud,abono optica vision
195,40281491,TEF ENVIADA EASY PORTAL,351.05,Vivienda,tef enviada easy portal
196,84801233,PAGO AUTOMATICO ENTRETENIMIENTO PLUS,25.12,Ocio,pago automatico entretenimiento plus
197,26587799,COMPRA TBK TALLER AUTOMOTRIZ,73.67,Servicios,compra tbk taller automotriz
198,95704631,CARGO TC ENTRETENIMIENTO PLUS,56.72,Ocio,cargo tc entretenimiento plus
199,93154172,TEF ENVIADA DELIVERY COMIDA,53.63,Alimentación,tef enviada delivery comida
200,18484847,PAGO WEB PLATAFORMA APRENDIZAJE,98.96,Educación,pago web plataforma aprendizaje
201,28760553,DEBITO PINTURAS SHERWIN,65.87,Vivienda,debito pinturas sherwin
202,41514326,PAGO AUTOMATICO PRONTO COPEC,53.8,Alimentación,pago automatico pronto copec
203,82503409,PAGO AUTOMATICO TAXI APP,28.05,Transporte,pago automatico taxi app
204,75679047,PAGO AUTOMATICO CINEMARK ONLINE,38.86,Ocio,pago automatico cinemark online
205,69509870,DEBITO CRUZ VERDE LOCAL,72.26,Salud,debito cruz verde local
206,59302863,COMPRA TBK AUTOPISTA CENTRAL,34.95,Transporte,compra tbk autopista central
207,35475673,COMPRA TBK RESTAURANT FANCY,58.25,Ocio,compra tbk restaurant fancy
208,96128115,COMPRA TBK SERVICIOS GENERALES,99.53,Servicios,compra tbk servicios generales
209,26901217,ABONO JUMBO BILBAO,48.28,Alimentación,abono jumbo bilbao
210,37804191,ABONO SHELL RUTA 5,37.25,Transporte,abono shell ruta 
211,89991301,CARGO TC GASCO LIQUADO,10.4,Servicios,cargo tc gasco liquado
212,33420607,TEF ENVIADA VTR BANDA ANCHA,25.39,Servicios,tef enviada vtr banda ancha
213,33386929,TEF ENVIADA ENEL D1STRIBUCION,47.15,Servicios,tef enviada enel dstribucion
214,18530615,PAGO WEB TAXI APP,31.19,Transporte,pago web taxi app
215,70667140,PAGO WEB SERVICIO TECNICO,80.54,Servicios,pago web servicio tecnico
216,98436473,DEBITO UDEMY COURSES,83.0,Educación,debito udemy courses
217,63904155,COMPRA TBK SODIMAC HOME,199.2,Vivienda,compra tbk sodimac home
218,19863756,DEBITO MERCADO CENTRAL,54.46,Alimentación,debito mercado central
219,93794475,COMPRA TBK CLINICA INDISA,98.63,Salud,compra tbk clinica indisa
220,81210133,PAGO AUTOMATICO PLATAFORMA APRENDIZAJE,51.29,Educación,pago automatico plataforma aprendizaje
221,25356396,COMPRA TBK PAGO CUOTAS,129.39,Educación,compra tbk pago cuotas
222,67723010,DEBITO MERCADO CENTRAL,29.84,Ocio,debito mercado central
223,63516659,CARGO TC TAXI APP,27.88,Transporte,cargo tc taxi app
224,44210729,PAGO AUTOMATICO PEDIDOSYA CL,25.59,Alimentación,pago automatico pedidosya cl
225,21457410,COMPRA TBK ESTACIONAMIENTO,10.13,Transporte,compra tbk estacionamiento
226,18050510,ABONO PEDIDOSYA CL,37.26,Alimentación,abono pedidosya cl
227,65137801,CARGO TC TIENDA ONLINE,59.5,Educación,cargo tc tienda online
228,16904975,ABONO TIENDA ONLINE,58.26,Ocio,abono tienda online
229,78103759,CARGO TC LIBRERIA UNIVERSITARIA,39.78,Educación,cargo tc libreria universitaria
230,56991504,TEF ENVIADA EVENTO DEPORTIVO,51.5,Ocio,tef enviada evento deportivo
231,40354559,ABONO FARMACIA AHUMADA,123.01,Salud,abono farmacia ahumada
232,92352411,ABONO PAGO CUOTAS,104.5,Servicios,abono pago cuotas
233,45896226,PAGO WEB UDEMY COURSES,14.05,Educación,pago web udemy courses
234,34347841,CARGO TC EXAMENES MED,131.78,Salud,cargo tc examenes med
235,94982908,COMPRA TBK PAGO CUOTAS,146.05,Educación,compra tbk pago cuotas
236,70887307,TEF ENVIADA TIENDA ONLINE,23.75,Alimentación,tef enviada tienda online
237,86181117,DEBITO EXAMENES MED,93.47,Salud,debito examenes med
238,16679008,TEF ENVIADA MCDONALDS WEB,42.07,Alimentación,tef enviada mcdonalds web
239,91480362,DEBITO OPTICA VISION,71.89,Salud,debito optica vision
240,56328316,ABONO INTEGRAMEDICA,70.19,Salud,abono integramedica
241,16095815,PAGO WEB OPTICA VISION,40.87,Salud,pago web optica vision
242,38351344,COMPRA TBK UDEMY COURSES,117.43,Educación,compra tbk udemy courses
243,11037490,CARGO TC CLARO TELECOM,79.63,Servicios,cargo tc claro telecom
244,40884937,TEF ENVIADA CONDOMINIO GGCC,225.09,Vivienda,tef enviada condominio ggcc
245,63293990,ABONO BANCO DEL ESTADO,130.65,Servicios,abono banco del estado
246,20450542,COMPRA TBK VERDULERIA DON PEPE,52.42,Alimentación,compra tbk verduleria don pepe
247,95918360,PAGO WEB PAGO CUOTAS,68.48,Educación,pago web pago cuotas
248,33068427,COMPRA TBK VERDULERIA DON PEPE,49.07,Alimentación,compra tbk verduleria don pepe
249,58567046,ABONO CURSO IDIOMAS,22.34,Educación,abono curso idiomas
250,63747464,TEF ENVIADA AGUAS ANDINAS,83.35,Servicios,tef enviada aguas andinas
251,54703713,DEBITO PINTURAS SHERWIN,322.69,Vivienda,debito pinturas sherwin
252,78444607,DEBITO TIENDA ONLINE,15.66,Alimentación,debito tienda online
253,96629889,CARGO TC SERVICIO TECNICO,124.11,Servicios,cargo tc servicio tecnico
254,33286644,TEF ENVIADA SHELL RUTA 5,38.13,Transporte,tef enviada shell ruta 
255,94281857,COMPRA TBK BANCO DEL ESTADO,79.18,Servicios,compra tbk banco del estado
256,85764804,ABONO TIENDA ONLINE,100.02,Servicios,abono tienda online
257,52431444,ABONO PLATAFORMA APRENDIZAJE,31.13,Educación,abono plataforma aprendizaje
258,46866075,PAGO AUTOMATICO MERCADO CENTRAL,37.53,Alimentación,pago automatico mercado central
259,15047559,CARGO TC FARMACIA AHUMADA,17.96,Salud,cargo tc farmacia ahumada
260,22119391,COMPRA TBK CLARO TELECOM,96.1,Servicios,compra tbk claro telecom
261,15505975,PAGO AUTOMATICO PAGO CUOTAS,72.96,Educación,pago automatico pago cuotas
262,91202508,DEBITO TIENDA ONLINE,76.59,Servicios,debito tienda online
263,56095437,PAGO AUTOMATICO COPEC SANTIAGO,59.03,Transporte,pago automatico copec santiago
264,43251599,DEBITO TIENDA ONLINE,43.92,Alimentación,debito tienda online
265,58841557,PAGO WEB HOME CENTER,180.5,Vivienda,pago web home center
266,90246882,PAGO AUTOMATICO CENTRO MEDICO,17.33,Salud,pago automatico centro medico
267,22684373,CARGO TC ENTRETENIMIENTO PLUS,35.69,Ocio,cargo tc entretenimiento plus
268,98122539,CARGO TC PINTURAS SHERWIN,387.54,Vivienda,cargo tc pinturas sherwin
269,99068509,CARGO TC MATRICULA UNIV,29.8,Educación,cargo tc matricula univ
270,62607710,DEBITO EXAMENES MED,28.05,Salud,debito examenes med
271,96368203,CARGO TC SPOTIFY PREMIUM,48.54,Ocio,cargo tc spotify premium
272,80651318,DEBITO VTR BANDA ANCHA,23.08,Servicios,debito vtr banda ancha
273,58667035,PAGO WEB TIENDA ONLINE,21.99,Ocio,pago web tienda online
274,40406092,ABONO AUTOPISTA CENTRAL,60.0,Transporte,abono autopista central
275,23574883,CARGO TC SHELL RUTA 5,32.92,Transporte,cargo tc shell ruta 
276,92950779,COMPRA TBK TIENDA ONLINE,28.35,Educación,compra tbk tienda online
277,93851247,TEF ENVIADA CONDOMINIO GGCC,333.17,Vivienda,tef enviada condominio ggcc
278,41880763,COMPRA TBK ESTACIONAMIENTO,58.33,Transporte,compra tbk estacionamiento
279,70254091,ABONO LIBRERIA UNIVERSITARIA,42.76,Educación,abono libreria universitaria
280,36040410,ABONO CARGA BIP WEB,25.23,Transporte,abono carga bip web
281,61254050,PAGO AUTOMATICO CURSO IDIOMAS,80.41,Educación,pago automatico curso idiomas
282,91156554,ABONO CONDOMINIO GGCC,98.44,Vivienda,abono condominio ggcc
283,59823245,DEBITO CRUZ VERDE LOCAL,87.64,Salud,debito cruz verde local
284,21257528,ABONO TIENDA ONLINE,46.97,Alimentación,abono tienda online
285,68716573,PAGO WEB OPTICA VISION,22.84,Salud,pago web optica vision
286,65686520,CARGO TC ESTACIONAMIENTO,7.93,Transporte,cargo tc estacionamiento
287,20952896,TEF ENVIADA PLATAFORMA APRENDIZAJE,62.49,Educación,tef enviada plataforma aprendizaje
288,97236246,COMPRA TBK PEDIDOSYA CL,23.44,Alimentación,compra tbk pedidosya cl
289,73411827,COMPRA TBK UBER TRIP,43.28,Transporte,compra tbk uber trip
290,20633503,PAGO AUTOMATICO ESTACIONAMIENTO,6.05,Transporte,pago automatico estacionamiento
291,91722503,PAGO WEB UBER TRIP,34.03,Transporte,pago web uber trip
292,16408822,TEF ENVIADA PRONTO COPEC,18.11,Alimentación,tef enviada pronto copec
293,77085942,PAGO AUTOMATICO COMPRA EN AMAZON,37.82,Ocio,pago automatico compra en amazon
294,29270557,PAGO WEB DELIVERY COMIDA,21.02,Alimentación,pago web delivery comida
295,65910756,CARGO TC SUPERMERCADO DIA,15.3,Alimentación,cargo tc supermercado dia
296,19083764,PAGO WEB SPOTIFY PREMIUM,57.44,Ocio,pago web spotify premium
297,84377016,ABONO TIENDA ONLINE,12.85,Educación,abono tienda online
298,60103798,COMPRA TBK SERVICIOS GENERALES,45.51,Servicios,compra tbk servicios generales
299,42363373,ABONO PEDIDOSYA CL,45.31,Alimentación,abono pedidosya cl
300,54629892,ABONO SPOTIFY PREMIUM,12.34,Ocio,abono spotify premium
301,72360629,ABONO CONSULTA ESPECIALISTA,147.31,Salud,abono consulta especialista
302,71428713,ABONO CONDOMINIO GGCC,62.94,Vivienda,abono condominio ggcc
303,15624520,ABONO COPEC SANTIAGO,22.36,Transporte,abono copec santiago
304,43999198,ABONO CENTRO MEDICO,15.13,Salud,abono centro medico
305,16416148,CARGO TC STEAM GAMES,52.62,Ocio,cargo tc steam games
306,68646621,COMPRA TBK EXAMENES MED,134.53,Salud,compra tbk examenes med
307,35074182,PAGO AUTOMATICO EVENTO DEPORTIVO,32.29,Ocio,pago automatico evento deportivo
308,21087928,ABONO REPARACIONES HOGAR,304.48,Vivienda,abono reparaciones hogar
309,34220459,PAGO WEB VERDULERIA DON PEPE,35.0,Alimentación,pago web verduleria don pepe
310,49680122,COMPRA TBK FARMACIA AHUMADA,52.91,Salud,compra tbk farmacia ahumada
311,57183837,TEF ENVIADA PAGO CUOTAS,72.6,Educación,tef enviada pago cuotas
